,satisfaction_level,last_evaluation,number_project,average_monthly_hours,tenure,work_accident,left,promotion_last_5years,department,salary
273,0.09,0.96,6,296,4,0,1,0,Technical,Low
274,0.11,0.9,6,254,4,0,1,0,Technical,Low
275,0.81,0.95,5,238,6,0,1,0,Technical,Low
276,0.1,0.97,6,267,4,1,1,0,Support,Low
277,0.74,0.89,5,229,6,0,1,0,Support,Low
278,0.09,0.78,6,254,4,0,1,0,Support,Low
279,0.82,0.81,4,233,4,1,1,0,Support,Low
280,0.1,0.98,6,268,4,0,1,0,Support,Low
281,0.27,0.56,3,301,3,0,1,0,Support,Low
282,0.83,0.92,5,267,6,0,1,0,Support,Low
283,0.1,0.93,6,289,4,1,1,0,Support,Low
284,0.38,0.47,2,144,3,0,1,0,Support,Low
285,0.4,0.56,2,148,3,0,1,0,Support,Low
286,0.11,0.83,6,306,4,0,1,0,Support,Low
287,0.11,0.79,6,292,4,0,1,1,Technical,Low
288,0.82,0.91,5,232,5,0,1,0,Technical,Low
289,0.36,0.48,2,137,3,0,1,0,Technical,Low
290,0.4,0.46,2,128,3,0,1,0,Management,Low
291,0.87,0.84,5,231,5,0,1,0,IT,Low
292,0.41,0.49,2,146,3,0,1,0,IT,Low
293,0.11,0.91,6,308,4,1,1,0,IT,Low
294,0.1,0.93,6,253,4,0,1,0,IT,Medium
295,0.38,0.51,2,146,3,0,1,0,IT,Medium
296,0.39,0.55,2,156,3,0,1,0,Product Management,Medium
297,0.4,0.52,2,147,3,0,1,0,Product Management,Medium
298,0.45,0.48,2,136,3,0,1,0,Product Management,Medium
299,0.74,0.84,5,249,5,0,1,0,Product Management,Medium
300,0.45,0.55,2,151,3,0,1,0,IT,Medium
301,0.12,1.0,3,278,4,0,1,0,Research and Development,Medium
302,0.1,0.77,7,250,5,0,1,0,Research and Development,Medium
303,0.37,0.55,2,127,3,0,1,0,Research and Development,Medium
304,0.89,0.87,5,255,5,0,1,0,Research and Development,Medium
305,0.45,0.47,2,135,3,0,1,0,Research and Development,Medium
306,0.37,0.46,2,149,3,0,1,0,Marketing,High
307,0.11,0.81,5,287,4,0,1,0,Sales,Low
308,0.41,0.48,2,145,3,0,1,0,Accounting,Medium
309,0.1,0.94,6,285,4,0,1,0,Support,Medium
310,0.1,0.93,7,305,4,0,1,0,Technical,Medium
311,0.11,0.95,7,300,4,0,1,0,Management,Medium
312,0.4,0.54,2,139,3,0,1,0,Marketing,Low
313,0.41,0.49,2,130,3,0,1,0,Marketing,Low
314,0.1,0.81,6,268,4,0,1,0,Marketing,Low
315,0.73,0.86,4,245,6,0,1,0,Sales,Low
316,0.43,0.47,2,135,3,0,1,0,Sales,Low
317,0.37,0.46,2,153,3,0,1,0,Sales,Low
318,0.11,0.94,6,276,4,0,1,0,Sales,Low
319,0.4,0.46,2,130,3,0,1,0,Sales,Low
320,0.41,0.54,2,153,3,1,1,0,Sales,Low
321,0.82,0.84,5,244,5,0,1,0,Sales,Low
322,0.61,0.47,2,253,3,0,1,0,Sales,Low
323,0.11,0.91,7,287,4,0,1,0,Sales,Low
324,0.37,0.45,2,131,3,0,1,0,Sales,Low
325,0.41,0.52,2,135,3,0,1,0,Sales,Low
326,0.37,0.52,2,157,3,0,1,0,Sales,Low
327,0.88,0.99,5,262,6,0,1,0,Sales,Low
328,0.1,0.85,6,266,4,0,1,0,Sales,Low
329,0.44,0.48,2,148,3,0,1,0,Sales,Low
330,0.38,0.57,2,140,3,0,1,0,Sales,Low
331,0.11,0.85,7,302,4,0,1,0,Sales,Low
332,0.09,0.98,6,271,4,0,1,0,Sales,Low
333,0.45,0.52,2,145,3,0,1,0,Sales,Medium
334,0.1,0.81,6,290,4,0,1,0,Accounting,Medium
335,0.45,0.47,2,151,3,0,1,0,Accounting,Medium
336,0.77,0.87,5,266,5,0,1,0,Accounting,Medium
337,0.44,0.51,2,140,3,0,1,0,Human Resources,Medium
338,0.39,0.5,2,142,3,0,1,0,Human Resources,Medium
339,0.1,0.91,6,246,4,0,1,0,Human Resources,Medium
340,0.09,0.89,7,308,5,0,1,0,Human Resources,Medium
341,0.37,0.47,2,141,3,0,1,0,Technical,Medium
342,0.9,1.0,5,232,5,0,1,0,Technical,Medium
343,0.41,0.56,2,143,3,0,1,0,Technical,Medium
344,0.37,0.52,2,155,3,0,1,0,Technical,Medium
345,0.1,0.86,6,278,4,0,1,0,Technical,High
346,0.81,1.0,4,253,5,0,1,0,Technical,Low
347,0.11,0.8,6,282,4,0,1,0,Technical,Medium
348,0.11,0.84,7,264,4,0,1,0,Technical,Medium
349,0.4,0.46,2,149,3,0,1,0,Technical,Medium
350,0.09,0.8,6,304,5,0,1,0,Technical,Medium
351,0.48,0.93,3,219,6,0,1,0,Technical,Low
352,0.91,0.91,4,262,6,0,1,0,Support,Low
353,0.43,0.57,2,135,3,0,1,0,Support,Low
354,0.33,0.88,6,219,5,0,1,0,Support,Low
355,0.41,0.57,2,136,3,0,1,0,Support,Low
356,0.41,0.55,2,154,3,0,1,0,Support,Low
357,0.37,0.54,2,149,3,0,1,0,Support,Low
358,0.31,0.62,6,135,5,0,1,0,Support,Low
359,0.09,0.91,6,275,4,0,1,0,Support,Low
360,0.1,0.87,6,290,4,0,1,0,Support,Low
361,0.76,0.9,4,263,5,0,1,0,Support,Low
362,0.41,0.54,2,145,3,0,1,0,Support,Low
363,0.72,0.96,5,267,5,0,1,0,Technical,Low
364,0.4,0.5,2,141,3,1,1,0,Technical,Low
365,0.91,0.87,4,235,5,0,1,0,Technical,Low
366,0.1,0.83,6,258,4,0,1,0,Management,Low
367,0.4,0.56,2,131,3,0,1,0,IT,Low
368,0.82,0.86,5,243,5,0,1,0,IT,Low
369,0.1,0.82,6,266,4,0,1,0,IT,Low
370,0.37,0.45,2,142,3,0,1,0,IT,Low
371,0.36,0.51,2,135,3,0,1,0,IT,Low
372,0.39,0.48,2,141,3,0,1,0,Product Management,Medium
373,0.36,0.57,2,142,3,0,1,0,Product Management,Medium
374,0.86,0.84,5,254,5,0,1,0,Product Management,Medium
375,0.73,0.99,5,262,5,0,1,0,Product Management,Medium
376,0.56,0.71,4,296,2,0,1,0,IT,Medium
377,0.44,0.56,2,158,3,0,1,0,Accounting,Medium
378,0.31,0.56,4,238,2,0,1,0,Accounting,Medium
379,0.77,0.93,4,231,5,0,1,0,Human Resources,Medium
380,0.44,0.45,2,156,3,0,1,0,Human Resources,Medium
381,0.38,0.46,2,145,3,0,1,0,Human Resources,Medium
382,0.45,0.48,2,144,3,0,1,0,Marketing,Medium
383,0.38,0.51,2,159,3,0,1,0,Sales,Medium
384,0.36,0.48,2,156,3,0,1,0,Accounting,High
385,0.75,0.9,5,256,5,0,1,0,Support,Low
386,0.1,0.93,6,298,4,0,1,0,Technical,Medium
387,0.1,0.97,6,247,4,0,1,0,Management,Medium
388,0.45,0.5,2,157,3,0,1,0,Marketing,Medium
389,0.42,0.57,2,154,3,1,1,0,Marketing,Medium
390,0.78,1.0,4,253,5,0,1,0,Marketing,Low
391,0.45,0.55,2,148,3,0,1,0,Sales,Low
392,0.84,1.0,4,261,5,0,1,0,Sales,Low
393,0.11,0.93,6,282,4,0,1,0,Sales,Low
394,0.42,0.56,2,133,3,0,1,0,Sales,Low
395,0.45,0.46,2,128,3,0,1,0,Sales,Low
396,0.09,0.79,6,293,5,0,1,0,Sales,Low
397,0.87,0.83,4,265,6,0,1,0,Sales,Low
398,0.1,0.87,6,250,4,0,1,0,Sales,Low
399,0.91,1.0,5,251,6,0,1,0,Sales,Low
400,0.76,0.92,4,246,5,0,1,0,Sales,Low
401,0.74,1.0,5,275,5,0,1,0,Sales,Low
402,0.92,0.93,5,240,5,0,1,0,Sales,Low
403,0.76,0.87,5,245,5,0,1,0,Sales,Low
404,0.47,0.5,4,254,4,0,1,0,Sales,Low
405,0.73,0.99,5,241,5,0,1,0,Sales,Low
406,0.09,0.94,6,257,4,0,1,0,Sales,Low
407,0.91,0.92,4,246,5,0,1,0,Sales,Low
408,0.82,0.98,4,233,5,0,1,0,Sales,Low
409,0.28,0.45,6,218,4,0,1,0,Accounting,Low
410,0.84,0.99,4,262,6,0,1,0,Accounting,Medium
411,0.45,0.53,2,138,3,0,1,0,Accounting,Medium
412,0.45,0.54,2,142,3,0,1,0,Human Resources,Medium
413,0.91,0.97,5,233,5,0,1,0,Human Resources,Medium
414,0.42,0.48,2,155,3,0,1,0,Human Resources,Medium
415,0.82,1.0,4,229,6,0,1,0,Human Resources,Medium
416,0.11,0.9,6,264,4,0,1,0,Technical,Medium
417,0.42,0.53,3,199,4,0,1,0,Technical,Medium
418,0.82,0.85,4,223,5,0,1,0,Technical,Medium
419,0.09,0.96,6,268,4,0,1,0,Technical,Medium
420,0.1,0.94,6,287,4,0,1,0,Technical,Medium
421,0.86,1.0,5,257,5,0,1,0,Technical,Medium
422,0.4,0.46,2,143,3,0,1,0,Technical,High
423,0.45,0.46,2,130,3,0,1,0,Technical,Low
424,0.42,0.51,2,136,3,0,1,0,Technical,Medium
425,0.74,0.92,4,261,5,0,1,0,Technical,Medium
426,0.55,0.6,3,180,4,0,1,0,Technical,Medium
427,0.37,0.45,2,126,3,0,1,0,Support,Medium
428,0.41,0.52,2,127,3,1,1,0,Support,Low
429,0.89,0.65,5,195,6,0,1,0,Support,Low
430,0.41,0.57,2,160,3,0,1,0,Support,Low
431,0.44,0.51,2,150,3,0,1,0,Support,Low
432,0.87,0.84,4,264,6,0,1,0,Support,Low
433,0.1,0.84,6,309,4,0,1,0,Support,Low
434,0.41,0.47,2,135,3,0,1,0,Support,Low
435,0.11,0.85,6,261,4,0,1,0,Support,Low
436,0.43,0.53,2,160,3,0,1,0,Support,Low
437,0.77,0.9,4,237,5,0,1,0,Support,Low
438,0.41,0.52,2,136,3,0,1,0,Technical,Low
439,0.41,0.48,2,139,3,0,1,0,Technical,Low
440,0.36,0.78,2,151,4,0,1,0,Technical,Low
441,0.77,1.0,5,229,5,0,1,0,Management,Low
442,0.81,0.98,5,245,5,0,1,0,IT,Low
443,0.39,0.54,2,127,3,0,1,0,IT,Low
444,0.09,0.94,6,283,5,0,1,0,IT,Low
445,0.44,0.46,2,143,3,0,1,0,IT,Low
446,0.1,0.84,5,298,4,0,1,0,IT,Low
447,0.36,0.48,2,159,3,0,1,0,Product Management,Low
448,0.81,0.92,5,239,5,0,1,0,Product Management,Low
449,0.81,0.9,4,226,5,0,1,0,Product Management,Medium
450,0.85,0.98,5,248,5,0,1,0,Product Management,Medium
451,0.1,0.87,6,286,4,0,1,0,IT,Medium
452,0.37,0.54,2,145,3,0,1,0,Research and Development,Medium
453,0.09,0.97,7,254,4,1,1,0,Research and Development,Medium
454,0.44,0.53,2,127,3,0,1,0,Research and Development,Medium
455,0.86,0.93,5,223,5,0,1,0,Research and Development,Medium
456,0.77,1.0,4,255,5,0,1,0,Research and Development,Medium
457,0.41,0.48,2,136,3,0,1,0,Marketing,Medium
458,0.4,0.48,2,137,3,0,1,0,Sales,Medium
459,0.43,0.49,2,135,3,0,1,0,Accounting,Medium
460,0.43,0.5,2,137,3,0,1,0,Support,Medium
461,0.8,0.53,3,255,5,0,1,0,Technical,High
462,0.8,0.85,4,273,5,0,1,0,Management,Low
463,0.82,0.98,5,234,5,0,1,0,Marketing,Medium
464,0.37,0.54,2,152,3,0,1,0,Marketing,Medium
465,0.37,0.48,2,134,3,0,1,0,Marketing,Medium
466,0.09,0.95,6,292,4,0,1,0,Sales,Medium
467,0.9,0.92,5,245,5,0,1,0,Sales,Low
468,0.41,0.52,2,159,3,0,1,0,Sales,Low
469,0.1,0.85,6,260,4,0,1,0,Sales,Low
470,0.44,0.53,2,149,3,0,1,0,Sales,Low
471,0.89,0.85,5,266,5,0,1,0,Sales,Low
